CGPA_VI,TOC_TH,SGPA_V,OS_grade,CD_TH,CGG_PR,Open_Elective_1_grade,Disc_Elective_1_Grade,COA_TH,OE1,isPlaced
5.72,0,3.5,4.5,4,8,4.5,10,0,9,0
9.03,8,8.95,9.0,8,10,9.0,10,9,9,1
6.64,0,6.0,7.0,6,8,7.5,9,7,9,0
7.68,7,8.1,7.5,8,10,9.0,10,8,10,1
9.28,9,9.45,9.5,9,10,10.0,10,9,10,1
8.05,9,8.15,8.5,9,10,8.5,9,6,9,1
6.94,7,7.9,8.5,6,9,9.0,10,6,10,0
8.86,7,8.8,9.5,10,9,9.5,10,9,10,1
9.57,10,9.65,10.0,9,10,9.0,10,9,9,1
9.22,9,9.55,9.5,9,10,10.0,10,9,10,1
8.26,10,8.75,8.5,8,9,8.5,10,9,9,1
7.88,8,8.35,8.5,8,9,9.0,9,8,10,1
7.14,6,7.6,8.0,8,10,8.0,10,6,9,1
8.94,9,9.35,9.5,10,10,9.5,9,10,10,1
8.25,9,8.75,9.0,9,10,8.0,9,8,9,1
9.01,10,9.0,9.5,8,10,8.5,10,8,9,0
9.01,9,9.2,10.0,9,7,9.5,10,10,10,1
7.99,8,8.65,8.5,6,10,9.5,10,7,10,0
8.88,8,9.05,9.0,8,10,9.5,10,8,10,1
7.38,8,8.25,8.0,8,9,8.5,7,8,9,0
8.75,8,8.85,9.0,8,9,10.0,10,7,10,1
7.01,8,8.65,8.5,5,9,9.0,10,8,10,1
7.73,6,8.0,8.0,6,9,9.0,9,8,10,1
6.41,5,6.4,8.5,5,0,9.0,8,6,10,0
8.36,7,8.35,9.0,6,7,9.5,9,9,10,0
7.53,8,8.2,8.0,5,9,8.5,10,7,10,0
5.58,0,4.55,4.0,0,8,7.5,9,0,8,0
7.83,8,8.1,8.5,8,8,8.0,9,9,9,0
7.73,6,8.05,8.5,7,8,9.0,8,8,10,0
4.91,0,3.89,6.0,4,0,6.0,5,0,7,0
8.7,9,9.2,9.0,10,9,10.0,10,9,10,0
7.56,7,7.85,9.0,8,8,8.0,10,6,8,1
7.74,10,8.45,8.0,6,9,9.0,10,7,10,1
8.25,8,8.8,9.0,8,9,10.0,9,8,10,1
8.96,9,9.15,8.5,8,10,10.0,10,9,10,0
6.58,8,7.1,7.0,5,8,7.5,8,7,9,0
8.86,6,7.25,7.5,9,6,8.5,9,7,9,0
7.31,8,8.35,9.0,6,9,8.5,9,8,9,0
7.77,9,8.2,8.5,5,9,8.5,9,7,10,1
9.74,10,9.65,9.0,10,10,10.0,10,9,10,1
7.1,7,8.25,8.0,7,9,8.0,10,8,8,0
6.97,6,6.9,7.0,7,5,8.5,10,7,9,0
8.76,9,9.05,9.5,8,9,9.0,10,9,10,1
7.43,7,8.2,9.0,8,9,8.5,9,8,10,0
7.99,7,7.85,8.0,6,10,7.5,10,7,8,1
6.74,6,7.55,8.5,4,9,6.5,9,7,8,1
9.21,8,8.6,8.5,9,10,9.5,10,8,10,1
7.15,7,7.7,8.5,0,9,7.0,10,8,8,0
7.21,8,8.65,9.0,8,10,8.5,10,8,9,0
6.86,6,6.2,7.5,5,9,7.0,7,7,9,0
9.18,10,9.1,8.5,9,10,10.0,10,7,10,0
8.21,8,8.1,8.5,9,9,9.0,8,7,10,0
8.63,9,8.65,9.5,8,10,9.0,7,7,10,1
8.4,8,8.9,9.0,8,9,10.0,10,8,10,1
5.8,0,0.84,0.0,0,0,0.0,0,0,0,0
8.43,9,8.75,8.5,8,10,9.0,10,9,10,1
8.17,10,8.75,9.0,8,9,8.5,9,8,9,0
8.68,8,8.45,8.5,5,9,9.0,9,8,10,0
8.73,9,9.1,9.5,8,10,9.0,10,8,10,0
8.01,7,8.2,9.0,7,9,8.5,10,8,9,1
9.02,9,9.0,9.0,8,10,9.5,10,8,10,0
8.8,8,8.9,9.0,8,9,9.0,10,10,10,0
7.7,8,8.55,9.0,7,9,8.5,10,8,9,0
8.67,8,8.2,9.0,6,10,7.5,9,7,9,0
8.74,8,9.1,9.5,8,10,10.0,10,7,10,0
8.88,9,9.1,9.0,10,10,8.5,10,10,9,0
8.66,8,8.75,9.0,9,9,9.0,10,9,9,0
7.41,8,8.1,8.5,5,9,8.5,9,8,10,0
8.16,8,8.65,8.5,9,9,8.5,10,9,9,1
9.17,9,9.1,9.5,10,10,9.0,10,8,9,0
9.17,9,9.1,9.5,10,10,9.0,10,8,9,0
6.92,7,7.55,8.5,5,9,7.5,8,6,9,0
8.65,6,8.1,8.5,8,8,9.5,10,8,10,0
7.37,6,8.05,9.0,7,9,9.0,9,7,10,0
8.43,8,8.8,9.0,7,10,9.5,8,9,10,0
8.91,10,8.85,9.0,9,10,9.0,10,7,10,1
8.04,8,8.55,8.5,8,10,8.5,10,9,9,1
6.41,7,7.25,7.5,8,10,5.5,8,8,6,0
6.64,5,6.2,7.0,0,8,8.5,8,6,9,0
7.17,7,8.2,8.5,6,8,9.0,10,8,10,1
4.25,0,1.0,5.0,0,0,0.0,0,0,0,0
7.21,9,7.25,7.5,4,5,7.5,8,6,8,0
7.55,7,8.05,8.0,4,9,9.0,8,8,10,0
7.83,8,8.5,8.5,8,9,9.5,10,8,10,0
7.95,8,8.85,9.0,4,10,9.0,10,9,10,0
6.59,7,7.5,8.0,4,9,7.5,8,6,9,0
8.34,7,8.6,9.5,10,9,8.5,10,9,9,1
8.02,9,8.7,8.5,6,10,9.0,9,8,10,0
5.19,0,5.58,7.5,5,8,8.0,5,6,9,0
2.82,0,0.64,4.5,0,0,0.0,0,0,0,0
8.01,9,8.5,9.0,7,9,9.5,9,6,10,1
8.11,8,8.25,8.0,7,10,8.5,8,8,10,1
6.32,6,7.25,6.5,4,9,7.0,10,8,8,0
7.67,8,8.25,8.0,7,7,9.5,9,8,10,1
8.88,9,9.25,8.5,9,9,10.0,10,9,10,0
8.16,8,8.35,9.0,8,9,8.0,10,7,9,0
8.38,8,8.95,9.5,8,10,9.5,9,9,10,0
8.12,8,8.45,9.5,4,9,8.0,9,8,9,0
8.25,8,8.8,9.0,6,10,8.5,10,9,9,1
9.27,10,8.85,9.5,10,10,9.0,10,6,10,1
8.29,8,8.45,9.0,9,8,9.5,10,8,10,1
8.52,7,8.5,9.0,10,9,8.5,10,8,9,0
8.81,9,9.15,9.5,9,10,9.5,10,8,10,1
8.65,8,9.2,10.0,7,10,10.0,10,8,10,1
8.29,8,8.65,8.5,8,9,10.0,9,8,10,0
7.18,6,7.8,8.0,8,8,8.5,9,7,10,0
8.65,8,8.85,9.5,8,9,10.0,9,8,10,0
9.2,8,8.85,9.0,9,10,9.0,10,9,9,0
5.11,0,5.29,4.0,0,8,7.0,10,0,7,0
7.83,8,8.45,8.5,6,9,9.0,10,8,9,1
9.07,9,9.25,9.5,9,10,9.5,10,8,10,1
8.64,9,9.0,9.0,8,9,9.0,10,9,10,1
7.96,8,7.95,8.5,5,8,8.5,10,7,10,1
8.48,8,8.25,8.5,9,9,8.0,9,10,10,1
8.85,10,9.3,9.5,9,9,9.0,10,9,9,1
8.48,7,8.0,8.5,8,10,8.5,8,7,9,1
4.44,0,2.7,4.0,0,0,5.0,8,0,10,0
8.76,9,9.4,10.0,8,9,9.5,10,10,10,0
7.57,9,8.15,8.5,7,10,7.5,10,8,10,1
7.31,0,7.05,8.5,8,9,9.0,8,8,9,0
8.28,7,8.15,9.0,9,9,9.0,8,8,10,1
7.98,7,8.0,8.5,8,9,8.0,9,8,8,0
8.51,10,9.35,10.0,8,10,9.0,10,9,10,1
7.17,8,8.5,8.0,7,9,9.0,10,8,10,0
6.73,6,7.25,6.5,4,8,7.0,10,6,8,0
7.13,8,8.25,7.5,8,9,9.0,9,8,10,0
8.59,8,8.95,9.5,7,10,9.5,9,9,10,0
9.24,10,9.6,9.5,8,10,9.5,10,10,10,0
8.6,8,8.6,8.0,7,9,9.5,10,7,10,1
8.56,8,8.7,9.0,7,10,8.5,9,9,9,0
8.94,9,8.9,9.5,8,9,9.0,10,8,9,1
4.26,0,3.0,7.0,4,9,0.0,0,0,0,0
7.1,6,7.0,6.5,8,7,7.5,10,8,9,0
8.5,7,8.65,9.0,8,8,9.0,10,10,9,0
8.77,9,8.85,9.5,8,10,9.0,10,7,10,1
8.7,10,9.15,9.0,0,10,9.5,9,8,10,1
6.84,8,7.35,8.5,5,9,6.5,8,5,7,0
9.55,10,9.85,9.5,10,10,10.0,10,10,10,1
